Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;BFA001;2025-09-28;11:00;0686625;AS SP ENTREMONT RIXHEIM;0683731;VOLLEY-BALL CLUB DU RHIN; 2/0;25-6,25-17;50-23;COSEC;KRUGLER CHAFFAUT THOMAS;;
ACJEUNES;01;BFA002;2025-09-28;00:00;0683731;VOLLEY-BALL CLUB DU RHIN;0883725;SAINT DIE DES VOSGES VOLLEY BALL; 0/2;14-25,22-25;36-50;COSEC;KRUGLER CHAFFAUT THOMAS;;
ACJEUNES;01;BFA003;2025-09-28;00:00;0686625;AS SP ENTREMONT RIXHEIM;0883725;SAINT DIE DES VOSGES VOLLEY BALL; 2/0;25-19,25-14;50-33;COSEC;KRUGLER CHAFFAUT THOMAS;;
ACJEUNES;01;BFB001;2025-09-28;10:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0136082;VITROLLES SPORTS VOLLEY-BALL; 0/2;8-25,13-25;21-50;GYMNASE FERNANDEZ;MAGARIAN ELLA;;
ACJEUNES;01;BFB002;2025-09-28;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/1;25-18,23-25,15-13;63-56;GYMNASE FERNANDEZ;MAGARIAN ELLA;;
ACJEUNES;01;BFB003;2025-09-28;00:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 0/2;9-25,8-25;17-50;GYMNASE FERNANDEZ;MAGARIAN ELLA;;
ACJEUNES;01;BFC001;2025-09-28;11:00;0385507;FONTAINE VOLLEY;0388899;UN.SP.VALLEE DE LA GRESSE; 0/2;16-25,14-25;30-50;MARIO FOSSA;OLIVÉ MADRUENO LAURA;;
ACJEUNES;01;BFC002;2025-09-28;00:00;0388899;UN.SP.VALLEE DE LA GRESSE;0264643;MONTELIMAR VOLLEY; 0/2;16-25,9-25;25-50;MARIO FOSSA;OLIVÉ MADRUENO LAURA;;
ACJEUNES;01;BFC003;2025-09-28;00:00;0385507;FONTAINE VOLLEY;0264643;MONTELIMAR VOLLEY; 0/2;10-25,9-25;19-50;MARIO FOSSA;OLIVÉ MADRUENO LAURA;;
ACJEUNES;01;BFD001;2025-09-28;10:00;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB;0819685;PUYLAURENS VOLLEY BALL; 2/0;25-17,25-12;50-29;COSEC RENE FERRAN;CIUBOTARU VIZIRU LAURENTIU;;
ACJEUNES;01;BFD002;2025-09-28;00:00;0819685;PUYLAURENS VOLLEY BALL;0315117;MURET VOLLEY-BALL; 0/2;8-25,15-25;23-50;COSEC RENE FERRAN;SANCHO NORO;;
ACJEUNES;01;BFD003;2025-09-28;00:00;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB;0315117;MURET VOLLEY-BALL; 0/2;15-25,21-25;36-50;COSEC RENE FERRAN;SANCHO NORO;;
ACJEUNES;01;BFE001;2025-09-28;11:00;0674157;STRASBOURG UNIVERSITE CLUB;0675289;A.S. VALLEE DE LA SAUER; 2/0;25-15,25-12;50-27;ADLER;DORN EMMY;;
ACJEUNES;01;BFE002;2025-09-28;00:00;0675289;A.S. VALLEE DE LA SAUER;0687706;VOLLEY-BALL CLUB D'ENSISHEIM; 2/0;25-4,25-5;50-9;ADLER;DORN EMMY;;
ACJEUNES;01;BFE003;2025-09-28;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0687706;VOLLEY-BALL CLUB D'ENSISHEIM; 2/0;25-10,25-12;50-22;ADLER;DORN EMMY;;
ACJEUNES;01;BFF001;2025-09-28;10:00;0060008;MANDELIEU LA NAPOULE V.B.;0836446;SAINTE-MAXIME COGOLIN VOLLEY; 2/1;21-25,25-9,15-9;61-43;GYMNASE DES MIMOSAS;LAMBERT MULTARI ILYANA;;
ACJEUNES;01;BFF002;2025-09-28;00:00;0836446;SAINTE-MAXIME COGOLIN VOLLEY;0062701;ASS SPORTIVE DE MONACO; 2/0;25-8,25-7;50-15;GYMNASE DES MIMOSAS;LAMBERT MULTARI ILYANA;;
ACJEUNES;01;BFF003;2025-09-28;00:00;0060008;MANDELIEU LA NAPOULE V.B.;0062701;ASS SPORTIVE DE MONACO; 2/0;25-7,25-10;50-17;GYMNASE DES MIMOSAS;LAMBERT MULTARI ILYANA;;
ACJEUNES;01;BFG001;2025-09-28;11:00;0599848;DUNKERQUE GRAND LITTORAL V.B.;0595712;VOLLEY CLUB SAINT POLOIS; 2/0;25-14,25-15;50-29;SALLE LYCEE JEAN BART;WINCKEL ANTOINE;;
ACJEUNES;01;BFG002;2025-09-28;00:00;0595712;VOLLEY CLUB SAINT POLOIS;0622016;TOUQUET A.C. VOLLEY-BALL AND BEACH; 1/2;20-25,25-19,11-15;56-59;SALLE LYCEE JEAN BART;WINCKEL ANTOINE;;
